block_x,block_y,samples,kernel_time_ms,total_time_ms,efficiency
16,16,40,4324.649,4324.718,1.000
16,16,200,21626.213,21626.385,1.000
16,16,360,39120.379,39120.703,1.000
16,16,520,56585.320,56585.875,1.000
16,16,680,73713.172,73714.008,1.000
16,16,840,91652.055,91653.180,1.000
16,16,1000,109377.125,109378.523,1.000
16,16,1160,126874.023,126875.711,1.000
16,16,1320,144341.969,144343.953,1.000
16,16,1480,161830.219,161832.531,1.000
16,16,1640,179323.266,179325.766,1.000
16,16,1800,196804.281,196803.734,1.000
